,apll_time,llprover_time,sat-ll_time,apll_outcome,llprover_outcome,sat-ll_outcome,size,atoms
0,29,128,105,SUCCESS,SUCCESS,SUCCESS,-1,-1
1,30,674,124,SUCCESS,SUCCESS,SUCCESS,-1,-1
2,32,327,112,SUCCESS,SUCCESS,SUCCESS,-1,-1
3,35,330,120,SUCCESS,SUCCESS,SUCCESS,-1,-1
4,31,468,110,SUCCESS,SUCCESS,SUCCESS,-1,-1
5,30,669,121,SUCCESS,SUCCESS,SUCCESS,-1,-1
6,29,678,112,SUCCESS,SUCCESS,SUCCESS,-1,-1
7,39,196,110,SUCCESS,SUCCESS,SUCCESS,-1,-1
8,30,215,106,SUCCESS,SUCCESS,SUCCESS,-1,-1
9,31,134,115,SUCCESS,SUCCESS,SUCCESS,-1,-1
10,33,211,107,SUCCESS,SUCCESS,SUCCESS,-1,-1
11,30,131,107,SUCCESS,SUCCESS,SUCCESS,-1,-1
12,30,7490,125,FAILURE,FAILURE,FAILURE,-1,-1
13,30,129,105,SUCCESS,SUCCESS,SUCCESS,-1,-1
14,31,44882,110,FAILURE,FAILURE,FAILURE,-1,-1
15,31,324,111,SUCCESS,SUCCESS,SUCCESS,-1,-1
16,33,-1,306,FAILURE,TIMEOUT,FAILURE,-1,-1
17,31,151,549,SUCCESS,SUCCESS,SUCCESS,-1,-1
18,28,155,127,SUCCESS,SUCCESS,SUCCESS,-1,-1
19,31,142,135,SUCCESS,SUCCESS,SUCCESS,-1,-1
20,31,135,110,SUCCESS,SUCCESS,SUCCESS,-1,-1
21,32,134,122,SUCCESS,SUCCESS,SUCCESS,-1,-1
22,33,130,110,SUCCESS,SUCCESS,SUCCESS,-1,-1
23,30,127,110,SUCCESS,SUCCESS,SUCCESS,-1,-1
24,33,159,128,SUCCESS,SUCCESS,SUCCESS,-1,-1
25,31,-1,598,SUCCESS,TIMEOUT,SUCCESS,-1,-1
26,40,-1,1868,SUCCESS,TIMEOUT,SUCCESS,-1,-1
27,31,1776,1323,SUCCESS,SUCCESS,SUCCESS,-1,-1
28,29,-1,15257,SUCCESS,TIMEOUT,SUCCESS,-1,-1
29,42,-1,321,FAILURE,TIMEOUT,FAILURE,-1,-1
30,110,-1,6827,FAILURE,TIMEOUT,FAILURE,-1,-1
