,apll_time,llprover_time,sat-ll_time,apll_outcome,llprover_outcome,sat-ll_outcome,size,atoms,*,|,&,+,?,!
0,40,169,113,NONE,NONE,NONE,25,12,3,3,0,5,0,0
1,54,145,129,NONE,NONE,NONE,25,12,3,2,2,2,0,0
2,47,146,120,NONE,NONE,NONE,25,12,3,1,4,3,0,0
3,36,171,127,NONE,NONE,NONE,25,12,1,2,3,3,0,0
4,42,149,118,NONE,NONE,NONE,25,12,3,2,2,3,0,0
5,44,149,119,NONE,NONE,NONE,25,12,2,3,3,2,0,0
6,35,132,114,NONE,NONE,NONE,25,12,5,1,3,2,0,0
7,38,161,164,NONE,NONE,NONE,25,12,3,3,2,3,0,0
8,48,205,192,NONE,NONE,NONE,25,12,1,4,3,3,0,0
9,42,252,185,NONE,NONE,NONE,25,12,2,6,1,1,0,0
0,37,137,113,NONE,NONE,NONE,50,25,7,4,5,5,0,0
1,42,1140,141,NONE,NONE,NONE,50,25,1,5,8,6,0,0
2,37,140,109,NONE,NONE,NONE,50,25,3,6,4,7,0,0
3,39,177,125,NONE,NONE,NONE,50,25,4,0,7,9,0,0
4,38,142,116,NONE,NONE,NONE,50,25,4,6,5,6,0,0
5,48,141,115,NONE,NONE,NONE,50,25,2,5,8,6,0,0
6,41,135,111,NONE,NONE,NONE,50,25,3,5,8,6,0,0
7,42,140,117,NONE,NONE,NONE,50,25,8,3,3,5,0,0
8,36,139,117,NONE,NONE,NONE,50,25,5,5,6,7,0,0
9,39,172,126,NONE,NONE,NONE,50,25,7,8,4,3,0,0
0,38,157,112,NONE,NONE,NONE,75,37,8,9,8,4,0,0
1,38,164,127,NONE,NONE,NONE,75,37,8,7,11,5,0,0
2,37,176,115,NONE,NONE,NONE,75,37,9,4,9,8,0,0
3,111,-1,130,NONE,TIMEOUT,NONE,75,37,9,10,8,6,0,0
4,33,160,109,NONE,NONE,NONE,75,37,3,11,10,10,0,0
5,35,134,113,NONE,NONE,NONE,75,37,9,8,8,7,0,0
6,3163,-1,446,NONE,TIMEOUT,NONE,75,37,7,9,12,6,0,0
7,34,134,110,NONE,NONE,NONE,75,37,6,6,8,11,0,0
8,33,135,112,NONE,NONE,NONE,75,37,7,4,10,10,0,0
9,35,194,115,NONE,NONE,NONE,75,37,5,4,13,11,0,0
0,34,140,112,NONE,NONE,NONE,100,50,11,11,5,14,0,0
1,33,137,117,NONE,NONE,NONE,100,50,8,10,15,10,0,0
2,34,133,119,NONE,NONE,NONE,100,50,14,14,8,5,0,0
3,34,131,119,NONE,NONE,NONE,100,50,6,10,14,14,0,0
4,442,-1,658,NONE,TIMEOUT,NONE,100,50,15,7,8,14,0,0
5,35,133,145,NONE,NONE,NONE,100,50,15,13,6,9,0,0
6,34,142,115,NONE,NONE,NONE,100,50,11,10,9,12,0,0
7,33,134,120,NONE,NONE,NONE,100,50,11,9,13,8,0,0
8,33,134,115,NONE,NONE,NONE,100,50,16,14,8,6,0,0
9,39,2191,114,NONE,NONE,NONE,100,50,10,11,9,14,0,0
0,34,458,114,NONE,NONE,NONE,125,62,19,10,14,11,0,0
1,38,169,121,NONE,NONE,NONE,125,62,14,7,17,15,0,0
2,38,1393,122,NONE,NONE,NONE,125,62,13,9,19,15,0,0
3,46,706,120,NONE,NONE,NONE,125,62,14,10,13,19,0,0
4,36,146,114,NONE,NONE,NONE,125,62,11,9,17,17,0,0
5,66,-1,120,NONE,TIMEOUT,NONE,125,62,13,11,15,14,0,0
6,35,144,119,NONE,NONE,NONE,125,62,15,7,11,21,0,0
