,apll_time,llprover_time,sat-ll_time,apll_outcome,llprover_outcome,sat-ll_outcome,size,atoms,*,|,&,+,?,!
0,4817,-1,5085,NONE,TIMEOUT,NONE,500,250,42,52,66,57,0,0
1,45,135,155,NONE,NONE,NONE,500,250,54,56,58,46,0,0
2,2308,-1,158,NONE,TIMEOUT,NONE,500,250,52,59,58,52,0,0
3,-1,-1,177,TIMEOUT,TIMEOUT,NONE,500,250,51,65,54,44,0,0
4,310,-1,300,NONE,TIMEOUT,NONE,500,250,45,53,61,56,0,0
5,580,-1,152,NONE,TIMEOUT,NONE,500,250,56,55,53,54,0,0
6,-1,-1,4243,TIMEOUT,TIMEOUT,NONE,500,250,58,48,55,54,0,0
7,-1,-1,4920,TIMEOUT,TIMEOUT,NONE,500,250,49,57,55,54,0,0
8,16492,-1,1364,NONE,TIMEOUT,NONE,500,250,68,48,49,51,0,0
9,50,989,153,NONE,NONE,NONE,500,250,51,59,52,55,0,0
10,-1,-1,155,TIMEOUT,TIMEOUT,NONE,500,250,51,58,48,58,0,0
11,44,892,3758,NONE,NONE,NONE,500,250,47,66,57,46,0,0
12,51,139,151,NONE,NONE,NONE,500,250,58,43,63,52,0,0
13,48,140,151,NONE,NONE,NONE,500,250,55,69,40,52,0,0
14,51,270,151,NONE,NONE,NONE,500,250,57,55,58,45,0,0
15,58,408,157,NONE,NONE,NONE,500,250,55,59,47,49,0,0
16,271,-1,156,NONE,TIMEOUT,NONE,500,250,51,58,50,61,0,0
17,52,25920,152,NONE,NONE,NONE,500,250,56,52,42,64,0,0
18,63,6178,201,NONE,NONE,NONE,500,250,54,49,55,57,0,0
19,76,8553,229,NONE,NONE,NONE,500,250,60,48,59,51,0,0
20,52,154,175,NONE,NONE,NONE,500,250,54,49,54,59,0,0
21,2358,-1,160,NONE,TIMEOUT,NONE,500,250,64,47,53,51,0,0
22,662,-1,154,NONE,TIMEOUT,NONE,500,250,62,55,42,55,0,0
23,43,141,157,NONE,NONE,NONE,500,250,55,43,51,67,0,0
24,51,1206,629,NONE,NONE,NONE,500,250,55,68,46,48,0,0
25,19958,-1,-1,NONE,TIMEOUT,TIMEOUT,500,250,57,50,61,50,0,0
26,-1,-1,153,TIMEOUT,TIMEOUT,NONE,500,250,50,57,52,57,0,0
