,apll_time,llprover_time,sat-ll_time,apll_outcome,llprover_outcome,sat-ll_outcome,size,atoms,*,|,&,+,?,!
0,-1,-1,216,TIMEOUT,TIMEOUT,NONE,100,50,24,17,0,0,0,0
1,-1,-1,2062,TIMEOUT,TIMEOUT,NONE,100,50,21,23,0,0,0,0
2,83,5972,111,NONE,NONE,NONE,100,50,26,16,0,0,0,0
3,-1,-1,-1,TIMEOUT,TIMEOUT,TIMEOUT,100,50,14,29,0,0,0,0
4,-1,-1,137,TIMEOUT,TIMEOUT,NONE,100,50,23,19,0,0,0,0
5,-1,-1,12264,TIMEOUT,TIMEOUT,NONE,100,50,18,26,0,0,0,0
6,53,5001,115,NONE,NONE,NONE,100,50,22,21,0,0,0,0
7,32,223,111,NONE,NONE,NONE,100,50,21,21,0,0,0,0
8,38,148,115,NONE,NONE,NONE,100,50,26,18,0,0,0,0
9,712,-1,115,NONE,TIMEOUT,NONE,100,50,21,22,0,0,0,0
10,39,217,147,NONE,NONE,NONE,100,50,21,23,0,0,0,0
11,34,133,113,NONE,NONE,NONE,100,50,24,20,0,0,0,0
12,32,177,121,NONE,NONE,NONE,100,50,19,24,0,0,0,0
13,34,139,114,NONE,NONE,NONE,100,50,26,16,0,0,0,0
14,3870,-1,120,NONE,TIMEOUT,NONE,100,50,17,26,0,0,0,0
15,34,129,113,NONE,NONE,NONE,100,50,18,24,0,0,0,0
16,6373,-1,144,NONE,TIMEOUT,NONE,100,50,25,18,0,0,0,0
17,31,138,114,NONE,NONE,NONE,100,50,24,19,0,0,0,0
18,37,135,115,NONE,NONE,NONE,100,50,18,26,0,0,0,0
19,34,132,111,NONE,NONE,NONE,100,50,23,18,0,0,0,0
20,38,3118,114,NONE,NONE,NONE,100,50,21,24,0,0,0,0
21,7143,-1,360,NONE,TIMEOUT,NONE,100,50,22,20,0,0,0,0
22,12388,-1,49322,NONE,TIMEOUT,NONE,100,50,23,20,0,0,0,0
23,-1,-1,1728,TIMEOUT,TIMEOUT,NONE,100,50,19,25,0,0,0,0
24,612,-1,119,NONE,TIMEOUT,NONE,100,50,22,20,0,0,0,0
25,38,782,120,NONE,NONE,NONE,100,50,23,20,0,0,0,0
26,-1,-1,117,TIMEOUT,TIMEOUT,NONE,100,50,26,16,0,0,0,0
27,46,755,137,NONE,NONE,NONE,100,50,27,16,0,0,0,0
28,-1,-1,1705,TIMEOUT,TIMEOUT,NONE,100,50,18,27,0,0,0,0
29,35,131,1438,NONE,NONE,NONE,100,50,21,19,0,0,0,0
30,-1,-1,190,TIMEOUT,TIMEOUT,NONE,100,50,27,16,0,0,0,0
31,1404,-1,114,NONE,TIMEOUT,NONE,100,50,27,15,0,0,0,0
32,46,499,117,NONE,NONE,NONE,100,50,25,19,0,0,0,0
33,171,30143,116,NONE,NONE,NONE,100,50,18,23,0,0,0,0
34,-1,-1,118,TIMEOUT,TIMEOUT,NONE,100,50,25,18,0,0,0,0
35,43564,-1,-1,NONE,TIMEOUT,TIMEOUT,100,50,20,23,0,0,0,0
36,63,7666,122,NONE,NONE,NONE,100,50,24,17,0,0,0,0
37,-1,-1,133,TIMEOUT,TIMEOUT,NONE,100,50,18,26,0,0,0,0
38,920,57145,122,NONE,NONE,NONE,100,50,21,20,0,0,0,0
39,3954,-1,116,NONE,TIMEOUT,NONE,100,50,23,20,0,0,0,0
40,6512,-1,115,NONE,TIMEOUT,NONE,100,50,18,24,0,0,0,0
41,-1,-1,130,TIMEOUT,TIMEOUT,NONE,100,50,22,22,0,0,0,0
42,-1,-1,-1,TIMEOUT,TIMEOUT,TIMEOUT,100,50,20,20,0,0,0,0
43,-1,-1,153,TIMEOUT,TIMEOUT,NONE,100,50,17,26,0,0,0,0
44,-1,-1,376,TIMEOUT,TIMEOUT,NONE,100,50,13,28,0,0,0,0
45,33,141,120,NONE,NONE,NONE,100,50,23,18,0,0,0,0
46,33,143,119,NONE,NONE,NONE,100,50,23,19,0,0,0,0
47,33,135,114,NONE,NONE,NONE,100,50,23,19,0,0,0,0
48,31,149,-1,NONE,NONE,TIMEOUT,100,50,21,18,0,0,0,0
49,35,359,7203,NONE,NONE,NONE,100,50,22,23,0,0,0,0
50,-1,-1,-1,TIMEOUT,TIMEOUT,TIMEOUT,100,50,15,26,0,0,0,0
51,3958,-1,116,NONE,TIMEOUT,NONE,100,50,19,22,0,0,0,0
52,-1,-1,198,TIMEOUT,TIMEOUT,NONE,100,50,20,21,0,0,0,0
53,-1,-1,378,TIMEOUT,TIMEOUT,NONE,100,50,14,27,0,0,0,0
54,-1,-1,132,TIMEOUT,TIMEOUT,NONE,100,50,17,24,0,0,0,0
55,-1,-1,513,TIMEOUT,TIMEOUT,NONE,100,50,17,25,0,0,0,0
56,-1,-1,135,TIMEOUT,TIMEOUT,NONE,100,50,19,24,0,0,0,0
57,37,131,113,NONE,NONE,NONE,100,50,23,19,0,0,0,0
58,33,138,118,NONE,NONE,NONE,100,50,30,13,0,0,0,0
59,33,131,114,NONE,NONE,NONE,100,50,20,23,0,0,0,0
60,-1,-1,-1,TIMEOUT,TIMEOUT,TIMEOUT,100,50,16,26,0,0,0,0
61,-1,-1,174,TIMEOUT,TIMEOUT,NONE,100,50,23,19,0,0,0,0
62,48,1625,118,NONE,NONE,NONE,100,50,18,24,0,0,0,0
63,-1,-1,1502,TIMEOUT,TIMEOUT,NONE,100,50,18,26,0,0,0,0
64,41,133,114,NONE,NONE,NONE,100,50,21,21,0,0,0,0
65,32,485,153,NONE,NONE,NONE,100,50,25,18,0,0,0,0
66,49,9004,113,NONE,NONE,NONE,100,50,25,20,0,0,0,0
67,-1,-1,151,TIMEOUT,TIMEOUT,NONE,100,50,20,23,0,0,0,0
68,35,322,122,NONE,NONE,NONE,100,50,24,17,0,0,0,0
69,37,172,118,NONE,NONE,NONE,100,50,22,21,0,0,0,0
70,38,191,119,NONE,NONE,NONE,100,50,21,21,0,0,0,0
71,36,145,156,NONE,NONE,NONE,100,50,22,20,0,0,0,0
72,35,203,131,NONE,NONE,NONE,100,50,18,24,0,0,0,0
73,-1,-1,5668,TIMEOUT,TIMEOUT,NONE,100,50,21,22,0,0,0,0
